Data Set 1:Time(s),NWAWB5,NWAWB4,NWAWB3,NSASB4,NWASB3,NWASB2,ASAWB1,NSASB3,NWAWB2,NWAWB1,AhSAWB1,NSASB1,NSASB2,AWASB1
75,4.371480465,4.645253181,4.705266953,11.8590889,12.45922947,9.472008705,4.668758,1.884305954,9.470760345,4.362783432,1.78,,4.960184574,5.069292068
75.5,4.378223419,4.651995659,4.709312916,11.87662125,12.46260166,9.737014771,4.770894,1.884974003,9.472097397,4.364120483,1.79,,5.117219448,5.081975937
76,4.384292603,4.656716347,4.714707375,11.89617538,12.4673214,9.986512184,4.87036,1.884974003,9.475438118,4.364788532,1.83,,5.303656578,5.10734272
76.5,4.389687061,4.662785053,4.71807909,11.91707993,12.4673214,10.1854353,4.966488,1.885642529,9.482120514,4.367461205,1.84,,5.489425659,5.140053272
77,4.39508152,4.666831017,4.71807909,11.92921734,12.47069359,10.37626648,5.061949,1.886978626,9.488134384,4.3741436,1.84,,5.685885906,5.164085388
77.5,4.397778511,4.671551228,4.724822044,11.94472694,12.47406483,10.55900669,5.163418,1.885642529,9.504840851,4.375480652,1.86,,5.903730392,5.188117027
78,4.399127483,4.676271439,4.729542732,11.9575386,12.48013401,10.71949387,5.267556,1.888983727,9.512859344,4.378153324,1.88,,6.138279915,5.20213604
78.5,4.401824951,4.685711861,4.735610962,11.96428204,12.4841795,10.84693909,5.361014,1.889652252,9.517536163,4.378153324,1.92,,6.378175735,5.214151859
79,4.40519619,4.695152283,4.739657402,11.96630478,12.48957443,10.95213318,5.45781,1.890987873,9.521546364,4.380157471,1.99,,6.626758575,5.253537655
79.5,4.409242153,4.705266953,4.745725632,11.97237396,12.49699211,11.04114246,5.55327,1.894997597,9.523550987,4.383499146,1.98,,6.886033535,5.274231911
80,4.410591125,4.71605587,4.749772072,11.98114014,12.50508308,11.12678146,5.640053,1.897001743,9.536915779,4.385503769,2.00,,7.161345482,5.303604603
80.5,4.416659832,4.72819376,4.772698402,11.98788261,12.51856995,11.20837307,5.727503,1.901679993,9.538251877,4.391517639,2.02,,7.450690746,5.320293427
